ime,chars,unicode
"cen","佺","4F7A"
"co","佻","4F7B"
"kyo","佼","4F7C"
"cha","佽","4F7D"
"il","佾","4F7E"
"sa","使","4F7F"
"si","使","4F7F"
"hyeng","侀","4F80"
"sin","侁","4F81"
"thak","侂","4F82"
"kan","侃","4F83"
"cil","侄","4F84"
"hay","侅","4F85"
"lay","來","4F86"
"i","侇","4F87"
"chi","侈","4F88"
"kwa","侉","4F89"
"lyey","例","4F8B"
"si","侍","4F8D"
"cwu","侏","4F8F"
"hyek","侐","4F90"
"yu","侑","4F91"
"an","侒","4F92"
"mo","侔","4F94"
"lyun","侖","4F96"
"tong","侗","4F97"
"cha","侘","4F98"
"swun","侚","4F9A"
"kong","供","4F9B"
"cwu","侜","4F9C"
"uy","依","4F9D"
"ye","侞","4F9E"
"mo","侮","4FAE"
"hwu","侯","4FAF"
"cin","侲","4FB2"
"cwa","侳","4FB3"
"chim","侵","4FB5"
"lye","侶","4FB6"
"kwuk","侷","4FB7"
"ceng","侹","4FB9"
"thal","侻","4FBB"
"phyen","便","4FBF"
"pyen","便","4FBF"
"yu","俁","4FC1"
"kyey","係","4FC2"
"chok","促","4FC3"
"a","俄","4FC4"
"kwu","俅","4FC5"
"kwang","俇","4FC7"
"o","俉","4FC9"
"cwun","俊","4FCA"
"up","俋","4FCB"
"lyang","俍","4FCD"
"co","俎","4FCE"
"so","俏","4FCF"
"li","俐","4FD0"
"yong","俑","4FD1"
"kyeng","俓","4FD3"
"hyen","俔","4FD4"
"sok","俗","4FD7"
"pwu","俘","4FD8"
"huy","俙","4FD9"
"li","俚","4FDA"
"myen","俛","4FDB"
"ping","俜","4FDC"
"po","保","4FDD"
"yu","俞","4FDE"
"sa","俟","4FDF"
"ki","俟","4FDF"
"kyep","俠","4FE0"
"hyep","俠","4FE0"
"sin","信","4FE1"
"swu","修","4FEE"
"pwu","俯","4FEF"
"kwu","俱","4FF1"
"pay","俳","4FF3"
"chen","俴","4FF4"
"phyo","俵","4FF5"
"chek","俶","4FF6"
"swuk","俶","4FF6"
"pi","俷","4FF7"
"pong","俸","4FF8"
"ep","俺","4FFA"
"em","俺","4FFA"
"pi","俾","4FFE"
"chang","倀","5000"
"swi","倅","5005"
"lyang","倆","5006"
"chang","倉","5009"
"kay","個","500B"
"kwan","倌","500C"
"phay","倍","500D"
"pay","倍","500D"
"cen","倎","500E"
"swuk","倏","500F"
"mwun","們","5011"
"to","倒","5012"
"tam","倓","5013"
"kwul","倔","5014"
"swu","倕","5015"
"hayng","倖","5016"
"pwung","倗","5017"
"tang","倘","5018"
"hwu","候","5019"
"ki","倚","501A"
"uy","倚","501A"
"ki","倛","501B"
"chek","倜","501C"
"kyeng","倞","501E"
"cha","借","501F"
"cek","借","501F"
"hyu","倠","5020"
"chang","倡","5021"
"chep","倢","5022"
"pang","倣","5023"
"kong","倥","5025"
"kwen","倦","5026"
"cong","倧","5027"
"ke","倨","5028"
"chen","倩","5029"
"yey","倪","502A"
"lyun","倫","502B"
"thak","倬","502C"
"wi","倭","502D"
"way","倭","502D"
"lung","倰","5030"
"hon","倱","5031"
"sa","倳","5033"
"chi","值","503C"
"ching","偁","5041"
"en","偃","5043"
"tong","偅","5045"
"chwun","偆","5046"
"ka","假","5047"
"ha","假","5047"
"key","偈","5048"
"kel","偈","5048"
"wi","偉","5049"
"yu","偊","504A"
"ya","偌","504C"
"woy","偎","504E"
"phyen","偏","504F"
"ak","偓","5053"
"hyey","偕","5055"
"hay","偕","5055"
"ca","做","505A"
"cwu","做","505A"
"sap","偛","505B"
"ceng","停","505C"
"pay","偝","505D"
"yep","偞","505E"
"hwang","偟","505F"
"yo","偠","5060"
"cho","偢","5062"
"kyen","健","5065"
"ken","健","5065"
"chi","偨","5068"
"pwu","偩","5069"
"phip","偪","506A"
"chi","偫","506B"
"myen","偭","506D"
"uy","偯","506F"
"sel","偰","5070"
"si","偲","5072"
"chuk","側","5074"
"ceng","偵","5075"
"wu","偶","5076"
"thwu","偷","5077"
"wi","偽","507D"
"koy","傀","5080"
"so","傃","5083"
"pwu","傅","5085"
"kang","傋","508B"
"ma","傌","508C"
"phayng","傍","508D"
"pang","傍","508D"
"cen","傎","508E"
"kel","傑","5091"
"hyey","傒","5092"
"kyem","傔","5094"
"kak","傕","5095"
"chang","傖","5096"
"san","傘","5098"
"pi","備","5099"
"hyo","傚","509A"
"yong","傛","509B"
"yo","傜","509C"
"thap","傝","509D"
"sa","傞","509E"
"ka","傢","50A2"
"choy","催","50AC"
"chwung","傭","50AD"
"yong","傭","50AD"
"co","傮","50AE"
"chong","傯","50AF"
"pwung","傰","50B0"
"o","傲","50B2"
"cen","傳","50B3"
"kwu","傴","50B4"
"chay","債","50B5"
"sang","傷","50B7"
"cey","傺","50BA"
"sa","傻","50BB"
"cang","傽","50BD"
"kyeng","傾","50BE"
"en","傿","50BF"
"sel","僁","50C1"
"lwu","僂","50C2"
"phyo","僄","50C4"
"kun","僅","50C5"
"lyen","僆","50C6"
"lyuk","僇","50C7"
"man","僈","50C8"
"chem","僉","50C9"
"sen","僊","50CA"
"tham","僋","50CB"
"sen","僎","50CE"
"cwun","僎","50CE"
"sang","像","50CF"
"kyo","僑","50D1"
"cwun","僔","50D4"
"pok","僕","50D5"
"huy","僖","50D6"
"lyo","僚","50DA"
"ki","僛","50DB"
"can","僝","50DD"
"cham","僣","50E3"
"than","僤","50E4"
"yo","僥","50E5"
"chwu","僦","50E6"
"sung","僧","50E7"
"pwun","僨","50E8"
"han","僩","50E9"
"kyel","僪","50EA"
"cho","僬","50EC"
"cham","僭","50ED"
"tong","僮","50EE"
"pwuk","僰","50F0"
"kang","僵","50F5"
"min","僶","50F6"
"kum","僸","50F8"
"ka","價","50F9"
"pyek","僻","50FB"
"phi","僻","50FB"
"chwu","僽","50FD"
"ay","僾","50FE"
"sa","僿","50FF"
"uy","儀","5100"
"nong","儂","5102"
"chen","儃","5103"
"ek","億","5104"
"kyeng","儆","5106"
"hyen","儇","5107"
"koy","儈","5108"
"kem","儉","5109"
"tam","儋","510B"
"kyo","儌","510C"
"pin","儐","5110"
"ap","儑","5111"
"yu","儒","5112"
"tay","儓","5113"
"cwu","儔","5114"
"cey","儕","5115"
"uy","儗","5117"
"cin","儘","5118"
"meng","儚","511A"
"nyeng","儜","511C"
"sang","償","511F"
"lyep","儠","5120"
"loy","儡","5121"
"lye","儢","5122"
"pho","儤","5124"
"yuk","儥","5125"
"phyo","儦","5126"
"sa","儩","5129"
"wu","優","512A"
"chun","儭","512D"
"long","儱","5131"
"ce","儲","5132"
"cham","儳","5133"
"sang","儴","5134"
"swuk","儵","5135"
"lye","儷","5137"
"la","儸","5138"
"chan","儹","5139"
"na","儺","513A"
"tang","儻","513B"
"em","儼","513C"
"lay","儽","513D"
"in","儿","513F"
"kwey","儿","513F"
"ol","兀","5140"
"yun","允","5141"
"wen","元","5143"
"hyeng","兄","5144"
