chars,pinyin
"仲","zhòng"
"仳","pǐ"
"仵","wǔ"
"件","jiàn"
"价","jià"
"价","jiè"
"任","rèn"
"份","fèn"
"仿","fǎng"
"伀","zhōng"
"伈","xǐn"
"伉","kàng"
"伊","yī"
"伋","jí"
"伍","wǔ"
"伎","jì"
"伏","fú"
"休","xiū"
"伕","fū"
"伙","huǒ"
"伯","bó"
"估","gù"
"估","gū"
"伴","bàn"
"伶","líng"
"伸","shēn"
"伺","cì"
"伺","sì"
"伻","bēng"
"似","sì"
"伽","qié"
"伾","pī"
"佃","diàn"
"但","dàn"
"佈","bù"
"佉","qū"
"佌","cǐ"
"位","wèi"
"低","dī"
"住","zhù"
"佐","zuǒ"
"佑","yòu"
"佔","zhàn"
"佔","zhān"
"何","hé"
"佗","tuó"
"佘","shé"
"余","yú"
"佚","yì"
"佛","fó"
"作","zuò"
"佞","nìng"
"佟","tóng"
"你","nǐ"
"佣","yòng"
"佣","yōng"
"佤","wǎ"
"佩","pèi"
"佪","huí"
"佫","hè"
"佬","lǎo"
"佯","yáng"
"佰","bǎi"
"佳","jiā"
"佴","èr"
"併","bìng"
"佶","jí"
"佹","guǐ"
"佺","quán"
"佼","jiǎo"
"佽","cì"
"佾","yì"
"使","shǐ"
"侀","xíng"
"侁","shēn"
"侃","kǎn"
"來","lái"
"侈","chǐ"
"例","lì"
"侍","shì"
"侏","zhū"
"侐","xù"
"侑","yòu"
"侔","móu"
"侖","lún"
"侗","dòng"
"侗","tóng"
"侘","chà"
"侚","xùn"
"供","gòng"
"供","gōng"
"侜","zhōu"
"依","yī"
"侮","wǔ"
"侯","hóu"
"侵","qīn"
"侶","lǚ"
"侷","jú"
"便","biàn"
"便","pián"
"俁","yǔ"
"係","xì"
"促","cù"
"俄","é"
"俅","qiú"
"俊","jùn"
"俎","zǔ"
"俏","qiào"
"俐","lì"
"俑","yǒng"
"俗","sú"
"俘","fú"
"俚","lǐ"
"俛","miǎn"
"俜","pīng"
"保","bǎo"
"俞","yú"
"俟","sì"
"俠","xiá"
"信","xìn"
"修","xiū"
"俯","fǔ"
"俱","jù"
"俱","jū"
"俳","pái"
"俴","jiàn"
"俵","biǎo"
"俶","chù"
"俸","fèng"
"俺","ǎn"
"俾","bǐ"
"倀","chāng"
"倅","cuì"
"倆","liǎ"
"倆","liǎng"
"倉","cāng"
"個","gè"
"倌","guān"
"倍","bèi"
"們","men"
"倒","dào"
"倒","dǎo"
"倔","jué"
"倖","xìng"
"倘","tǎng"
"候","hòu"
"倚","yǐ"
"倜","tì"
"借","jiè"
"倡","chàng"
"倢","jié"
"倣","fǎng"
"倥","kǒng"
"倥","kōng"
"倦","juàn"
"倨","jù"
"倩","qiàn"
"倪","ní"
"倫","lún"
"倭","wō"
"值","zhí"
"偁","chēng"
"偃","yǎn"
"假","jià"
"假","jiǎ"
"偈","jì"
"偈","jié"
"偉","wěi"
"偌","ruò"
"偎","wēi"
"偏","piān"
"偕","jiē"
"偕","xié"
"做","zuò"
"停","tíng"
"偝","bèi"
"健","jiàn"
"偩","fù"
"偪","bī"
"偯","yǐ"
"偲","sī"
"側","cè"
"側","zhāi"
"偵","zhēn"
"偶","ǒu"
"偷","tōu"
"偽","wěi"
"傀","guī"
"傀","kuǐ"
"傅","fù"
"傍","bàng"
"傍","bāng"
"傎","diān"
"傑","jié"
"傒","xī"
"傖","cāng"
"傘","sǎn"
"備","bèi"
"傚","xiào"
"傜","yáo"
"傞","suō"
"傢","jiā"
"催","cuī"
"傭","yōng"
"傯","zǒng"
"傲","ào"
"傳","chuán"
"傳","zhuàn"
"傴","yǔ"
"債","zhài"
"傷","shāng"
"傺","chì"
"傻","shǎ"
"傾","qīng"
"僂","lóu"
"僅","jǐn"
"僇","lù"
"僉","qiān"
"僊","xiān"
"像","xiàng"
"僑","qiáo"
"僕","pú"
"僖","xī"
"僚","liáo"
"僤","dàn"
"僥","jiǎo"
"僦","jiù"
"僧","sēng"
"僨","fèn"
"僩","xiàn"
"僬","jiāo"
"僭","jiàn"
"僮","tóng"
"僮","zhuàng"
"僰","bó"
"僱","gù"
"僳","sù"
"僵","jiāng"
"價","jià"
"僻","pì"
"僾","ài"
"儀","yí"
"儂","nóng"
"億","yì"
"儆","jǐng"
"儇","xuān"
"儈","kuài"
"儉","jiǎn"
"儋","dān"
"儌","jiǎo"
"儐","bīn"
"儒","rú"
"儔","chóu"
"儕","chái"
"儗","nǐ"
"儘","jǐn"
"償","cháng"
"儡","lěi"
"儤","bào"
"儦","biāo"
"儩","sì"
"優","yōu"
"儲","chǔ"
"儳","chàn"
"儷","lì"
"儸","luó"
"儺","nuó"
"儻","tǎng"
"儼","yǎn"
"儿","ér"
"兀","wù"
"允","yǔn"
"元","yuán"
"兄","xiōng"
"充","chōng"
"兆","zhào"
"兇","xiōng"
"先","xiān"
"光","guāng"
"克","kè"
"兌","duì"
"免","miǎn"
"兒","er"
"兒","ér"
"兔","tù"
"兕","sì"
"兗","yǎn"
"党","dǎng"
"兜","dōu"
"兢","jīng"
"入","rù"
"內","nèi"
"全","quán"
"兩","liǎng"
"八","bā"
"公","gōng"
"六","liù"
"兮","xī"
"共","gòng"
"兵","bīng"
"其","qí"
"具","jù"
"典","diǎn"
"兼","jiān"
"冀","jì"
"冉","rǎn"
"冊","cè"
"再","zài"
"冏","jiǒng"
"冑","zhòu"
"冒","mào"
"冓","gòu"
"冔","xǔ"
"冕","miǎn"
"冗","rǒng"
