chars,pinyin
"原","yuán"
"厢","xiāng"
"厣","yǎn"
"厥","jué"
"厦","shà"
"厦","xià"
"厨","chú"
"厩","jiù"
"厮","sī"
"厹","qiú"
"厹","róu"
"去","qù"
"县","xiàn"
"参","cān"
"参","shēn"
"又","yòu"
"叉","chá"
"叉","chǎ"
"叉","chā"
"及","jí"
"友","yǒu"
"双","shuāng"
"反","fǎn"
"发","fà"
"发","fā"
"叔","shū"
"取","qǔ"
"受","shòu"
"变","biàn"
"叙","xù"
"叛","pàn"
"叟","sǒu"
"叠","dié"
"叡","ruì"
"口","kǒu"
"古","gǔ"
"句","jù"
"另","lìng"
"叨","dāo"
"叨","tāo"
"叩","kòu"
"只","qí"
"只","zhǐ"
"只","zhī"
"叫","jiào"
"召","shào"
"召","zhào"
"叭","bā"
"叮","dīng"
"可","kě"
"台","tái"
"叱","chì"
"史","shǐ"
"右","yòu"
"叵","pǒ"
"叶","yè"
"号","háo"
"号","hào"
"司","sī"
"叹","tàn"
"叽","jī"
"吁","xū"
"吁","yù"
"吃","chī"
"吃","jí"
"各","gè"
"吆","yāo"
"合","gě"
"合","hé"
"吉","jí"
"吊","diào"
"同","tóng"
"名","míng"
"后","hòu"
"吏","lì"
"吐","tù"
"吐","tǔ"
"向","xiàng"
"吒","zhà"
"吓","xià"
"吕","lǚ"
"吗","ma"
"吗","mǎ"
"君","jūn"
"吝","lìn"
"吞","tūn"
"吟","yín"
"吠","fèi"
"否","fǒu"
"否","pǐ"
"吧","ba"
"吧","bā"
"吨","dùn"
"吨","dūn"
"吩","fēn"
"吪","é"
"含","hán"
"听","tìng"
"听","tīng"
"吭","háng"
"吮","shǔn"
"启","qǐ"
"吱","zī"
"吴","wú"
"吵","chǎo"
"吸","xī"
"吹","chuī"
"吻","wěn"
"吼","hǒu"
"吽","hōng"
"吾","wú"
"呀","ya"
"呃","è"
"呆","dāi"
"呈","chéng"
"告","gào"
"呐","nà"
"呐","ne"
"呓","yì"
"呕","ǒu"
"呖","lì"
"呗","bài"
"员","yuán"
"呙","guō"
"呛","qiàng"
"呛","qiāng"
"呜","wū"
"呢","ne"
"呢","ní"
"呤","líng"
"呦","yōu"
"呧","dǐ"
"周","zhōu"
"呱","gū"
"味","wèi"
"呵","ā"
"呵","hē"
"呶","náo"
"呸","pēi"
"呻","shēn"
"呼","hū"
"命","mìng"
"咀","jǔ"
"咂","zā"
"咆","páo"
"咋","zé"
"咋","zhà"
"和","hé"
"和","hè"
"和","huó"
"和","huò"
"咍","hāi"
