han,chars
"chương","樟"
"chương","漳"
"chương","獐"
"chương","璋"
"chương","章"
"chương","蟑"
"chương","鄣"
"chương","鱆"
"chướng","嶂"
"chướng","幛"
"chướng","瘴"
"chướng","障"
"chưởng","仉"
"chưởng","掌"
"chuy","隹"
"chuy","雔"
"chuy","鵻"
"chuý","惴"
"chuý","捶"
"chuỳ","捶"
"chuỳ","棰"
"chuỳ","椎"
"chuỳ","槌"
"chuỳ","锤"
"chuỳ","锥"
"chuỷ","兕"
"chuỷ","匕"
"chuỷ","匙"
"chuỷ","嘴"
"chuỷ","徵"
"chuỷ","棰"
"chuỷ","秕"
"chuỷ","觜"
"chuyên","专"
"chuyên","啭"
"chuyên","塼"
"chuyên","椽"
"chuyên","砖"
"chuyên","颛"
"chuyến","啭"
"chuyến","转"
"chuyển","剸"
"chuyển","啭"
"chuyển","转"
"chuyện","惙"
"chuyết","啜"
"chuyết","惙"
"chuyết","拙"
"chuyết","梲"
"chuyết","裰"
"chuyết","辍"
"chuyết","醊"
"cô","估"
"cô","咕"
"cô","姑"
"cô","孤"
"cô","沽"
"cô","泒"
"cô","箍"
"cô","罛"
"cô","菇"
"cô","菰"
"cô","蛄"
"cô","觚"
"cô","辜"
"cô","酤"
"cô","钴"
"cô","骷"
"cô","鸪"
"cố","估"
"cố","固"
"cố","崮"
"cố","故"
"cố","痼"
"cố","锢"
"cố","雇"
"cố","顾"
"cồ","罛"
"cơ","乩"
"cơ","几"
"cơ","剞"
"cơ","叽"
"cơ","基"
"cơ","奇"
"cơ","姬"
"cơ","机"
"cơ","犄"
"cơ","玑"
"cơ","琦"
"cơ","畸"
"cơ","矶"
"cơ","禨"
"cơ","箕"
"cơ","羁"
"cơ","肌"
"cơ","萁"
"cơ","讥"
"cơ","鞿"
"cơ","饥"
"cổ","估"
"cổ","冬"
"cổ","古"
"cổ","咕"
"cổ","牯"
"cổ","盬"
"cổ","瞽"
"cổ","罟"
"cổ","羖"
"cổ","股"
"cổ","臌"
"cổ","蛊"
"cổ","诂"
"cổ","贾"
"cổ","雇"
"cổ","骰"
"cổ","鼓"
"cốc","旝"
"cốc","曞"
"cốc","梏"
"cốc","毂"
"cốc","牿"
"cốc","觉"
"cốc","谷"
"cốc","鹄"
"côi","傀"
"côi","瑰"
"cối","会"
"cối","侩"
"cối","桧"
"côn","昆"
"côn","棍"
"côn","琨"
"côn","褌"
"côn","辊"
"côn","锟"
"côn","鲲"
"cổn","丨"
"cổn","滚"
"cổn","绲"
"cổn","衮"
"cổn","辊"
"cổn","鲧"
"công","公"
"công","功"
"công","工"
"công","扛"
"công","攻"
"công","缸"
"công","蚣"
"cống","杠"
"cống","汞"
"cống","贡"
"cống","赣"
"cộng","共"
"cốt","榾"
"cốt","汩"
"cốt","蓇"
"cốt","骨"
"cốt","鹘"
"cột","扢"
"cú","佝"
"cú","出"
"cú","句"
"cú","够"
"cú","笱"
"cú","耇"
"cú","鼩"
"cù","劬"
"cù","嵁"
"cù","樛"
"cù","欋"
"cù","氍"
"cù","泃"
"cù","璆"
"cù","瞿"
"cù","矍"
"cù","胊"
"cù","臞"
"cù","虬"
"cù","衢"
"cù","鶪"
"cù","鸲"
"cù","鼩"
"cũ","窭"
"củ","梖"
"củ","矩"
"củ","纠"
"củ","蒟"
"củ","赳"
"củ","踽"
"củ","龋"
"cư","居"
"cư","据"
"cư","椐"
"cư","琚"
"cư","璩"
"cư","腒"
"cư","裾"
"cư","踞"
"cư","锔"
"cụ","俱"
"cụ","具"
"cụ","埧"
"cụ","惧"
"cụ","飓"
"cứ","倨"
"cứ","噱"
"cứ","据"
"cứ","踞"
"cứ","锯"
"cừ","渠"
"cừ","璩"
"cừ","磲"
"cừ","籧"
"cừ","蕖"
"cừ","蘧"
"cừ","醵"
"cử","举"
"cử","榉"
"cử","筥"
"cử","莒"
"cự","噱"
"cự","巨"
"cự","拒"
"cự","柜"
"cự","沶"
"cự","澽"
"cự","炬"
"cự","苣"
"cự","讵"
"cự","豦"
"cự","距"
"cự","遽"
"cự","醵"
"cự","钜"
"cự","鬯"
"cúc","匊"
"cúc","掬"
"cúc","菊"
"cúc","踘"
"cúc","鞠"
"cúc","鞫"
"cúc","麴"
"cục","局"
"cục","挶"
"cục","梮"
"cục","锔"
"cức","亟"
"cức","棘"
"cức","殛"
"cức","襋"
"cực","极"
"cung","供"
"cung","宫"
"cung","弓"
"cung","恭"
"cung","躬"
"cung","邛"
"cung","龚"
"cúng","供"
"cùng","穷"
"cùng","筇"
"cùng","藭"
"cùng","蛩"
"cùng","跫"
"cùng","銎"
"củng","巩"
"củng","廾"
"củng","拱"
"củng","珙"
"củng","跫"
"củng","龚"
"cước","噱"
"cước","脚"
"cược","噱"
"cược","屩"
"cược","臄"
"cuống","诓"
"cuống","诳"
"cuống","逛"
"cuồng","狂"
"cuồng","逛"
"cuồng","鵟"
"cương","僵"
"cương","冈"
"cương","刚"
"cương","岗"
